,M
1765,-332
1766,-88
1767,136
1768,-452
1769,219
1770,-384
1771,-180
1772,51
1773,-49
1774,-106
1775,-105
1776,-372
1777,286
1778,-161
1779,280
1780,583
1781,-1339
1782,198
1783,-19
1784,-17
1785,186
1786,415
1787,-815
1788,369
1789,-173
1790,245
1791,277
1792,-352
1793,-430
1794,868
1795,-332
1796,-356
1797,335
1798,-448
1799,406
1800,-113
1801,321
1802,-473
1803,384
1804,-499
1805,58
1806,-489
1807,24
1808,180
1809,-138
1810,-421
1811,30
1812,-335
1813,414
1814,-47
1815,-187
1816,186
1817,-327
1818,-226
1819,-10
1820,-261
1821,-585
1822,619
1823,-237
1824,24
1825,-288
1826,-52
1827,85
1828,14
1829,-44
1830,27
1831,-20
1832,-65
1833,-342
1834,-99
1835,-130
1836,-775
1837,-65
1838,-316
1839,166
1840,3
1841,-356
1842,-249
1843,-58
1844,-90
1845,172
1846,80
1847,12
1848,-274
1849,433
1850,-416
1851,811
1852,-448
1853,168
1854,-96
1855,-40
1856,-486
1857,-381
1858,340
1859,223
1860,-334
1861,-44
1862,122
1863,-784
1864,-33
1865,-177
1866,285
1867,-10
1868,352
1869,-478
1870,-189
1871,140
1872,-71
1873,-87
1874,-407
1875,37
1876,280
1877,78
1878,-237
1879,-240
1880,183
1881,-58
1882,-290
1883,33
1884,114
1885,-783
1886,757
1887,-478
1888,-550
1889,144
1890,570
1891,-317
1892,-613
1893,9
1894,-432
1895,34
1896,239
1897,-101
1898,-175
1899,365
1900,-708
1901,-383
1902,-402
1903,-61
1904,227
1905,432
1906,-589
1907,-91
1908,129
1909,-250
1910,482
1911,-648
1912,79
1913,-185
1914,97
1915,266
1916,-280
1917,-316
1918,-245
1919,350
1920,-58
1921,-24
1922,-569
1923,-246
1924,-78
1925,-711
1926,438
1927,609
1928,-844
1929,962
1930,-1019
1931,76
1932,38
1933,633
1934,-297
1935,-162
1936,132
1937,-115
1938,310
1939,-439
1940,341
1941,129
1942,132
1943,-497
1944,-154
1945,-312
1946,441
1947,-347
1948,317
1949,-1230
1950,284
1951,-253
1952,170
1953,-434
1954,227
1955,-29
1956,-321
1957,-34
1958,-176
1959,-4
1960,-392
1961,224
1962,-265
1963,633
1964,-163
1965,-603
1966,497
1967,-704
1968,-69
1969,1012
1970,-642
1971,-628
1972,-228
1973,-292
1974,-119
1975,314
1976,261
1977,-381
1978,218
1979,-152
1980,-150
1981,157
1982,-214
1983,20
1984,368
1985,368
1986,-658
1987,573
1988,-976
1989,205
1990,-58
1991,418
1992,-163
1993,402
1994,-394
1995,-140
1996,634
1997,-467
1998,-318
1999,469
2000,284
2001,-1049
2002,81
2003,-125
2004,439
2005,-1163
2006,65
2007,-467
2008,315
2009,-251
2010,-154
2011,-94
2012,785
2013,-485
2014,-630
2015,174
2016,885
2017,-643
2018,404
2019,130
2020,-1346
2021,392
2022,-641
2023,1211
2024,-319
2025,135
2026,-948
2027,130
